name,address,postal_code,latitude,longitude
BUKIT VIEW SECONDARY SCHOOL,16 BUKIT BATOK STREET 21,659633,1.34572,103.752298
CANBERRA PRIMARY SCHOOL,21 ADMIRALTY DRIVE,757714,1.450666,103.81587
CANBERRA SECONDARY SCHOOL,51 SEMBAWANG DRIVE,757699,1.453794,103.814663
CANOSSA CONVENT PRIMARY SCHOOL,1 Sallim Road,387621,1.326166,103.882253
CANTONMENT PRIMARY SCHOOL,1 Cantonment Close,88256,1.27562,103.84
CASUARINA PRIMARY SCHOOL,30 PASIR RIS ST 41,518935,1.372421,103.957724
CATHOLIC HIGH SCHOOL,9 BISHAN STREET 22,579767,1.355193,103.846228
CATHOLIC JUNIOR COLLEGE,129 WHITLEY ROAD,297822,1.324641,103.83554
CEDAR GIRLS' SECONDARY SCHOOL,1 CEDAR AVENUE,349692,1.333751,103.874242
CEDAR PRIMARY SCHOOL,15 CEDAR AVENUE,349700,1.335578,103.876669
CHANGKAT CHANGI SECONDARY SCHOOL,23 SIMEI ST 3,529894,1.340939,103.952619
CHANGKAT PRIMARY SCHOOL,11 SIMEI ST 3,529896,1.340164,103.951801
CHIJ (KATONG) PRIMARY,17 MARTIA ROAD,424821,1.306931,103.910846
CHIJ (KELLOCK),1 Bukit Teresa Road,99757,1.274904,103.827933
CHIJ KATONG CONVENT,3 GEYLANG BAHRU LANE,339626,1.324084,103.87089
CHIJ OUR LADY OF GOOD COUNSEL,2C Burghley Drive,558979,1.35732,103.863998
CHIJ OUR LADY OF THE NATIVITY,1257 UPPER SERANGOON ROAD,534793,1.372971,103.898088
CHIJ OUR LADY QUEEN OF PEACE,4 Chestnut Drive,679287,1.366297,103.767594
CHIJ PRIMARY (TOA PAYOH),628 Lorong 1 Toa Payoh,319765,1.333107,103.841908
CHIJ SECONDARY (TOA PAYOH),626 LORONG 1 TOA PAYOH,319764,1.332007,103.842993
CHIJ ST. JOSEPH'S CONVENT,62 SENG KANG EAST WAY,548595,1.391747,103.902461
CHIJ ST. NICHOLAS GIRLS' SCHOOL,501 ANG MO KIO STREET 13,569405,1.373744,103.834301
CHIJ ST. THERESA'S CONVENT,160 LOWER DELTA ROAD,99138,1.275955,103.822073
CHONG BOON SECONDARY SCHOOL,2 ANG MO KIO STREET 44,569250,1.363994,103.858355
CHONGFU SCHOOL,170 YISHUN AVENUE 6,768959,1.438563,103.839285
CHONGZHENG PRIMARY SCHOOL,1 TAMPINES STREET 21,529392,1.350835,103.951438
CHRIST CHURCH SECONDARY SCHOOL,20 WOODLANDS DRIVE 17,737924,1.426395,103.793419
CHUA CHU KANG PRIMARY SCHOOL,20 CHOA CHU KANG AVENUE 2,689905,1.378056,103.741723
CHUA CHU KANG SECONDARY SCHOOL,3 TECK WHYE CRESCENT,688845,1.383169,103.751584
CHUNG CHENG HIGH SCHOOL (MAIN),50 GOODMAN ROAD,439012,1.305368,103.890726
CHUNG CHENG HIGH SCHOOL (YISHUN),11 YISHUN STREET 61,768547,1.418737,103.837311
CLEMENTI PRIMARY SCHOOL,8 CLEMENTI AVE 3,129903,1.315403,103.763253
CLEMENTI TOWN SECONDARY SCHOOL,10 CLEMENTI AVE 3,129904,1.315501,103.762094
COMMONWEALTH SECONDARY SCHOOL,698 WEST COAST ROAD,608784,1.3192,103.745652
COMPASSVALE PRIMARY SCHOOL,21 COMPASSVALE ST,545091,1.39418,103.897901
COMPASSVALE SECONDARY SCHOOL,51 COMPASSVALE CRESCENT,545083,1.396086,103.899711
CONCORD PRIMARY SCHOOL,3 CHOA CHU KANG AVE 4,689814,1.380026,103.73625
CORAL PRIMARY SCHOOL,20 PASIR RIS ST 51,518902,1.367979,103.950803
CORAL SECONDARY SCHOOL,31 PASIR RIS STREET 51,518901,1.367101,103.949261
CORPORATION PRIMARY SCHOOL,31 JURONG WEST STREET 24,648347,1.351499,103.707576
CRESCENT GIRLS' SCHOOL,357 TANGLIN ROAD,247961,1.293338,103.817566
CREST SECONDARY SCHOOL,561 JURONG EAST STREET 24,609561,1.343466,103.742462
DA QIAO PRIMARY SCHOOL,8 ANG MO KIO STREET 54,569185,1.371969,103.85865
DAMAI PRIMARY SCHOOL,50 BEDOK RESERVOIR CRESCENT,479225,1.335746,103.920101
DAMAI SECONDARY SCHOOL,4800 BEDOK RESERVOIR ROAD,479229,1.336405,103.927061
DAZHONG PRIMARY SCHOOL,35 BUKIT BATOK STREET 31,659441,1.359,103.748528
DE LA SALLE SCHOOL,11 Choa Chu Kang St 52,689285,1.394304,103.743605
DEYI SECONDARY SCHOOL,1 ANG MO KIO STREET 42,569277,1.365893,103.852329
DUNEARN SECONDARY SCHOOL,247 Jalan Boon Lay,619522,1.341733,103.710177
DUNMAN HIGH SCHOOL,10 TANJONG RHU ROAD,436895,1.29836,103.882979
DUNMAN SECONDARY SCHOOL,21 TAMPINES STREET 45,529093,1.360673,103.956206
EAST COAST PRIMARY SCHOOL,8 CHAI CHEE LANE,469031,1.329372,103.919612
EAST SPRING PRIMARY SCHOOL,31 TAMPINES ST 33,529258,1.35349,103.961799
EAST SPRING SECONDARY SCHOOL,30 TAMPINES STREET 34,529231,1.355997,103.960586
EAST VIEW PRIMARY SCHOOL,4 TAMPINES STREET 91,528907,1.346782,103.939586
EAST VIEW SECONDARY SCHOOL,3 TAMPINES STREET 42,529177,1.357878,103.949913
EDGEFIELD PRIMARY SCHOOL,41 EDGEFIELD PLAINS,828869,1.399887,103.907469
EDGEFIELD SECONDARY SCHOOL,36 PUNGGOL FIELD,828814,1.399882,103.902302
ELIAS PARK PRIMARY SCHOOL,11 PASIR RIS STREET 52,518866,1.374697,103.945633
ENDEAVOUR PRIMARY SCHOOL,10 Admiralty Link,757521,1.454201,103.817423
EUNOS PRIMARY SCHOOL,95 JALAN EUNOS Eunos Primary School,419529,1.324223,103.904727
EVERGREEN PRIMARY SCHOOL,31 WOODLANDS CIRCLE,738908,1.444082,103.795038
EVERGREEN SECONDARY SCHOOL,11 WOODLANDS STREET 83,738489,1.441283,103.794011
FAIRFIELD METHODIST SCHOOL (PRIMARY),100 DOVER ROAD,139648,1.300744,103.785809
FAIRFIELD METHODIST SCHOOL (SECONDARY),102 Dover Road Fairfield Methodist Secondary,139649,1.301925,103.78446
FAJAR SECONDARY SCHOOL,58 Chestnut Drive,679301,1.36867,103.770848
FARRER PARK PRIMARY SCHOOL,2 FARRER PARK ROAD,217567,1.312139,103.850992
FENGSHAN PRIMARY SCHOOL,307 BEDOK NORTH ROAD,469680,1.329819,103.931902
FERNVALE PRIMARY SCHOOL,1 Fernvale Lane,797701,1.389948,103.873919
FIRST TOA PAYOH PRIMARY SCHOOL,7 LORONG 8 TOA PAYOH,319252,1.340145,103.855651
FRONTIER PRIMARY SCHOOL,20 Jurong West Street 61,648200,1.336581,103.699087
FUCHUN PRIMARY SCHOOL,23 WOODLANDS AVENUE 1,739063,1.4302,103.778088
FUCHUN SECONDARY SCHOOL,21 WOODLANDS AVENUE 1,739062,1.430948,103.777326
FUHUA PRIMARY SCHOOL,65 JURONG EAST STREET 13,609647,1.336524,103.736118
FUHUA SECONDARY SCHOOL,5 JURONG WEST STREET 41,649410,1.346902,103.726756
GAN ENG SENG PRIMARY SCHOOL,100 REDHILL CLOSE,158901,1.285631,103.815421
GAN ENG SENG SCHOOL,1 HENDERSON ROAD,159561,1.289088,103.823727
